gbifID;datasetKey;occurrenceID;scientificName;verbatimScientificName;locality;stateProvince;publishingOrgKey;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;elevation;elevationAccuracy;eventDate;basisOfRecord;institutionCode;collectionCode;catalogNumber;identifiedBy;dateIdentified;license;recordedBy;typeStatus;establishmentMeans;lastInterpreted;mediaType;issue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1702010580;e45c7d91-81c6-4455-86e3-2965a5739b1f;urn:catalog:O:V:160611;Carex jemtlandica (Palmgr.) Palmgr.;Carex jemtlandica;Risemyra, liten myr rett V f Riseplassen;Buskerud;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;59.7181;10.0667;1118.0;;;;1993-07-31T00:00:00Z;PRESERVED_SPECIMEN;O;V;160611;Jan Erik Eriksen, Reidar Elven;2001-01-01T00:00:00Z;CC_BY_4_0;Tore Berg;;;2019-09-27T08:04:24.493Z;STILLIMAGE;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1701324940;d29d79fd-2dc4-4ef5-89b8-cdf66994de0d;urn:catalog:TRH:V:93442;Carex jemtlandica (Palmgr.) Palmgr.;Carex jemtlandica;Ved Gortjern;Buskerud;a8144f37-5ff7-4137-9400-94b5b2ea4ec4;59.7061;9.9286;71.0;;350.0;;2013-08-15T00:00:00Z;PRESERVED_SPECIMEN;TRH;V;93442;Kjell Ivar Flatberg;2016-09-15T00:00:00Z;CC_BY_4_0;Dag-Inge Øien;;;2019-09-20T17:27:06.485Z;STILLIMAGE;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1701332469;d29d79fd-2dc4-4ef5-89b8-cdf66994de0d;urn:catalog:TRH:V:316206;Carex jemtlandica (Palmgr.) Palmgr.;Carex jemtlandica;Mellom Bremsetj. og Sagdammen;Buskerud;a8144f37-5ff7-4137-9400-94b5b2ea4ec4;59.7166;10.0755;707.0;;280.0;;1970-08-12T00:00:00Z;PRESERVED_SPECIMEN;TRH;V;316206;Kjell Ivar Flatberg, Einar Vik;1970-08-12T00:00:00Z;CC_BY_4_0;Kjell Ivar Flatberg, Einar Vik;;;2019-09-20T17:27:06.664Z;STILLIMAGE;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1702430596;e45c7d91-81c6-4455-86e3-2965a5739b1f;urn:catalog:O:V:86444;Carex jemtlandica (Palmgr.) Palmgr.;Carex jemtlandica;myra NO for Skogen, i rikmyr;Buskerud;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;59.5681;9.6539;71.0;;330.0;;1993-08-26T00:00:00Z;PRESERVED_SPECIMEN;O;V;86444;Kåre Arnstein Lye;1993-08-26T00:00:00Z;CC_BY_4_0;Kåre Arnstein Lye;;;2019-09-27T08:10:20.060Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1702391791;e45c7d91-81c6-4455-86e3-2965a5739b1f;urn:catalog:O:V:645323;Carex jemtlandica (Palmgr.) Palmgr.;Carex cf. jemtlandica;Nedre Eiker: Bremsa: Rismyr SØ for Sagdammen, SØ-delen;Buskerud;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;59.7052;10.0813;7.0;;;;2014-06-20T00:00:00Z;PRESERVED_SPECIMEN;O;V;645323;Malene Nygård, Heidi Solstad, Reidar Elven;2014-06-20T00:00:00Z;CC_BY_4_0;Malene Nygård, Heidi Solstad, Reidar Elven;;;2019-09-27T08:09:46.746Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1702391706;e45c7d91-81c6-4455-86e3-2965a5739b1f;urn:catalog:O:V:645303;Carex jemtlandica (Palmgr.) Palmgr.;Carex jemtlandica;Lier: Øverskogen: Ringemyr;Buskerud;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;59.9676;10.2329;7.0;;;;2014-06-19T00:00:00Z;PRESERVED_SPECIMEN;O;V;645303;Malene Nygård, Heidi Solstad, Reidar Elven;2014-06-19T00:00:00Z;CC_BY_4_0;Malene Nygård, Heidi Solstad, Reidar Elven;;;2019-09-27T08:09:47.488Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1702391698;e45c7d91-81c6-4455-86e3-2965a5739b1f;urn:catalog:O:V:645295;Carex jemtlandica (Palmgr.) Palmgr.;Carex jemtlandica;Lier: Øverskogen: myr V for Hornsetra;Buskerud;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;59.9595;10.2436;71.0;;;;2014-06-19T00:00:00Z;PRESERVED_SPECIMEN;O;V;645295;Malene Nygård, Heidi Solstad, Reidar Elven;2014-06-19T00:00:00Z;CC_BY_4_0;Malene Nygård, Heidi Solstad, Reidar Elven;;;2019-09-27T08:09:47.789Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1702391666;e45c7d91-81c6-4455-86e3-2965a5739b1f;urn:catalog:O:V:645296;Carex jemtlandica (Palmgr.) Palmgr.;Carex jemtlandica;Lier: Øverskogen: myr V for Hornsetra;Buskerud;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;59.9585;10.2426;7.0;;;;2014-06-19T00:00:00Z;PRESERVED_SPECIMEN;O;V;645296;Malene Nygård, Heidi Solstad, Reidar Elven;2014-06-19T00:00:00Z;CC_BY_4_0;Malene Nygård, Heidi Solstad, Reidar Elven;;;2019-09-27T08:09:48.058Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1702391665;e45c7d91-81c6-4455-86e3-2965a5739b1f;urn:catalog:O:V:645264;Carex jemtlandica (Palmgr.) Palmgr.;Carex jemtlandica;Lier: Finnemarka: lia Ø for Haskollsetra;Buskerud;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;59.8486;10.1441;7.0;;;;2014-06-18T00:00:00Z;PRESERVED_SPECIMEN;O;V;645264;Malene Nygård, Heidi Solstad, Reidar Elven;2014-06-18T00:00:00Z;CC_BY_4_0;Malene Nygård, Heidi Solstad, Reidar Elven;;;2019-09-27T08:09:46.872Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1702391657;e45c7d91-81c6-4455-86e3-2965a5739b1f;urn:catalog:O:V:645302;Carex jemtlandica (Palmgr.) Palmgr.;Carex jemtlandica;Lier: Øverskogen: Ringemyr;Buskerud;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;59.9667;10.235;71.0;;;;2014-06-19T00:00:00Z;PRESERVED_SPECIMEN;O;V;645302;Malene Nygård, Heidi Solstad, Reidar Elven;2014-06-19T00:00:00Z;CC_BY_4_0;Malene Nygård, Heidi Solstad, Reidar Elven;;;2019-09-27T08:09:47.663Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
