gbifID;datasetKey;occurrenceID;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;scientificName;verbatimScientificName;verbatimScientificNameAuthorship;countryCode;locality;stateProvince;identifiedBy;occurrenceStatus;individualCount;publishingOrgKey;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;elevation;elevationAccuracy;depth;depthAccuracy;eventDate;day;month;year;taxonKey;speciesKey;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordNumber;identifiedBy;dateIdentified;license;rightsHolder;recordedBy;typeStatus;establishmentMeans;lastInterpreted;mediaType;issue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1701568907;d29d79fd-2dc4-4ef5-89b8-cdf66994de0d;urn:catalog:TRH:V:55884;Plantae;Tracheophyta;Liliopsida;Poales;Cyperaceae;Carex;Carex lepidocarpa;;SPECIES;Carex lepidocarpa Tausch;Carex lepidocarpa;Tausch;NO;Ca 1 km ø. f. Oppsjøen;Akershus;Asbjørn Moen, Berit Forbord Moen;;;a8144f37-5ff7-4137-9400-94b5b2ea4ec4;59.8214;10.3998;707.0;;;;;;1970-07-29T00:00:00Z;29;7;1970;2725388;2725388;PRESERVED_SPECIMEN;TRH;V;55884;;Asbjørn Moen, Berit Forbord Moen;1970-07-29T00:00:00Z;CC_BY_4_0;;Asbjørn Moen, Berit Forbord Moen;;;2019-09-20T17:27:22.858Z;STILLIMAGE;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1702429424;e45c7d91-81c6-4455-86e3-2965a5739b1f;urn:catalog:O:V:84864;Plantae;Tracheophyta;Liliopsida;Poales;Cyperaceae;Carex;Carex lepidocarpa;;SPECIES;Carex lepidocarpa Tausch;Carex lepidocarpa;Tausch;NO;myr ved Trollstua, på S-siden av veien;Akershus;Finn Wischmann;;;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;59.8228;10.3936;71.0;;200.0;;;;1953-06-27T00:00:00Z;27;6;1953;2725388;2725388;PRESERVED_SPECIMEN;O;V;84864;;Finn Wischmann;1953-06-27T00:00:00Z;CC_BY_4_0;;Finn Wischmann;;;2019-09-27T08:10:20.441Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1701854217;e45c7d91-81c6-4455-86e3-2965a5739b1f;urn:catalog:O:V:35187;Plantae;Tracheophyta;Liliopsida;Poales;Cyperaceae;Carex;Carex lepidocarpa;;SPECIES;Carex lepidocarpa Tausch;Carex cf. lepidocarpa;Tausch;NO;tjern E for Oppsjøen;Akershus;Finn Wischmann;;;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;59.8183;10.3952;71.0;;210.0;;;;1968-09-19T00:00:00Z;19;9;1968;2725388;2725388;PRESERVED_SPECIMEN;O;V;35187;;Finn Wischmann;1968-09-19T00:00:00Z;CC_BY_4_0;;Finn Wischmann;;;2019-09-27T08:07:23.465Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1701854168;e45c7d91-81c6-4455-86e3-2965a5739b1f;urn:catalog:O:V:35067;Plantae;Tracheophyta;Liliopsida;Poales;Cyperaceae;Carex;Carex lepidocarpa;;SPECIES;Carex lepidocarpa Tausch;Carex lepidocarpa;Tausch;NO;myr v à v Trollstua;Akershus;Finn Wischmann;;;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;59.8228;10.3936;71.0;;;;;;1964-08-20T00:00:00Z;20;8;1964;2725388;2725388;PRESERVED_SPECIMEN;O;V;35067;;Finn Wischmann;1964-08-20T00:00:00Z;CC_BY_4_0;;Finn Wischmann;;;2019-09-27T08:07:22.434Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1701642117;e45c7d91-81c6-4455-86e3-2965a5739b1f;urn:catalog:O:V:34947;Plantae;Tracheophyta;Liliopsida;Poales;Cyperaceae;Carex;Carex lepidocarpa;;SPECIES;Carex lepidocarpa Tausch;Carex lepidocarpa;Tausch;NO;Trollstumyra;Akershus;Finn Wischmann;;;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;59.8219;10.3918;71.0;;195.0;;;;1962-07-05T00:00:00Z;5;7;1962;2725388;2725388;PRESERVED_SPECIMEN;O;V;34947;;Finn Wischmann;1962-07-05T00:00:00Z;CC_BY_4_0;;Finn Wischmann;;;2019-09-27T08:07:21.240Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1702391653;e45c7d91-81c6-4455-86e3-2965a5739b1f;urn:catalog:O:V:645263;Plantae;Tracheophyta;Liliopsida;Poales;Cyperaceae;Carex;Carex lepidocarpa;;SPECIES;Carex lepidocarpa Tausch;Carex lepidocarpa;Tausch;NO;Asker: Dikemark: Lille Oppsjøen;Akershus;Malene Nygård, Heidi Solstad, Reidar Elven;;;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;59.8168;10.3929;1.0;;;;;;2014-06-18T00:00:00Z;18;6;2014;2725388;2725388;PRESERVED_SPECIMEN;O;V;645263;;Malene Nygård, Heidi Solstad, Reidar Elven;2014-06-18T00:00:00Z;CC_BY_4_0;;Malene Nygård, Heidi Solstad, Reidar Elven;;;2019-09-27T08:09:46.689Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1702211008;e45c7d91-81c6-4455-86e3-2965a5739b1f;urn:catalog:O:V:31386;Plantae;Tracheophyta;Liliopsida;Poales;Cyperaceae;Carex;Carex lepidocarpa;;SPECIES;Carex lepidocarpa Tausch;Carex lepidocarpa;Tausch;NO;Fiskebekklega;Aust-Agder;Reidar Elven;;;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;59.5837;7.2559;707.0;;930.0;;;;1970-08-01T00:00:00Z;1;8;1970;2725388;2725388;PRESERVED_SPECIMEN;O;V;31386;;Reidar Elven;1995-01-01T00:00:00Z;CC_BY_4_0;;Finn Wischmann;;;2019-09-27T08:07:05.349Z;STILLIMAGE;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1702406141;e45c7d91-81c6-4455-86e3-2965a5739b1f;urn:catalog:O:V:72095;Plantae;Tracheophyta;Liliopsida;Poales;Cyperaceae;Carex;Carex lepidocarpa;;SPECIES;Carex lepidocarpa Tausch;Carex lepidocarpa;Tausch;NO;Lierskogen-Tranby: Gjellebekk,;Buskerud;Anne Elven, Reidar Elven;;;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;59.8135;10.2925;707.0;;260.0;;;;1993-06-08T00:00:00Z;8;6;1993;2725388;2725388;PRESERVED_SPECIMEN;O;V;72095;;Anne Elven, Reidar Elven;1993-06-08T00:00:00Z;CC_BY_4_0;;Anne Elven, Reidar Elven;;;2019-09-27T08:09:59.880Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1701997291;e45c7d91-81c6-4455-86e3-2965a5739b1f;urn:catalog:O:V:140418;Plantae;Tracheophyta;Liliopsida;Poales;Cyperaceae;Carex;Carex lepidocarpa;;SPECIES;Carex lepidocarpa Tausch;Carex lepidocarpa;Tausch;NO;Grunntjern SE f Hagatjern;Buskerud;Anne Elven, Reidar Elven;;;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;59.7182;10.0578;707.0;;294.0;;;;1996-07-30T00:00:00Z;30;7;1996;2725388;2725388;PRESERVED_SPECIMEN;O;V;140418;;Anne Elven, Reidar Elven;1996-07-30T00:00:00Z;CC_BY_4_0;;Anne Elven, Reidar Elven;;;2019-09-27T08:04:11.558Z;STILLIMAGE;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1701689629;e45c7d91-81c6-4455-86e3-2965a5739b1f;urn:catalog:O:V:5614;Plantae;Tracheophyta;Liliopsida;Poales;Cyperaceae;Carex;Carex lepidocarpa;;SPECIES;Carex lepidocarpa Tausch;Carex lepidocarpa;Tausch;NO;Gjellebekk, kalkmyr;Buskerud;Eyvind Riis, Fridtjof Riis, Klaus Høiland;;;f314b0b0-e3dc-11d9-8d81-b8a03c50a862;59.8104;10.2925;1803.0;;;;;;1970-07-14T00:00:00Z;14;7;1970;2725388;2725388;PRESERVED_SPECIMEN;O;V;5614;;Eyvind Riis, Fridtjof Riis, Klaus Høiland;1970-07-14T00:00:00Z;CC_BY_4_0;;Eyvind Riis, Fridtjof Riis, Klaus Høiland;;;2019-09-27T08:09:09.983Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
